sim_time_s,key_index,letter,x,y,heading_deg
0.3880,13,k,50.000,18.776,94.91
0.5420,22,x,49.894,20.004,94.91
1.6090,23,c,50.003,27.122,44.43
2.9790,14,i,55.145,19.996,-69.09
4.3170,5,o,58.966,9.997,-69.09
4.6800,6,m,60.002,7.285,-69.09
6.8990,15,h,66.437,10.004,62.91
7.8780,16,b,70.003,16.977,62.91
8.3030,25,j,71.551,20.004,62.91
10.1020,26,l,80.003,23.167,-57.09
10.5740,17,p,82.055,19.997,-57.09
12.0390,8,t,82.418,9.995,-125.09
12.5650,7,s,79.999,6.552,-125.09
14.2920,16,b,70.351,10.005,130.91
14.3600,15,h,69.995,10.416,130.91
15.9460,24,v,61.685,20.004,130.91
16.2680,23,c,59.998,21.951,130.91
18.0610,22,x,49.996,21.044,-137.09
18.2530,13,k,48.871,19.998,-137.09
19.7680,12,u,39.995,11.745,-137.09
20.0890,3,n,38.114,9.997,-137.09
21.3970,2,z,29.996,4.706,132.91
22.2740,11,w,25.399,10.005,130.91
23.3050,10,a,19.997,16.238,130.91
23.9280,19,q,16.733,20.005,130.91
25.8970,18,g,9.999,22.752,-113.09
26.2710,9,y,8.826,19.999,-113.09
27.6170,0,r,5.046,9.998,-81.89
29.5090,1,e,10.000,6.747,54.91
30.0060,10,a,12.286,10.000,54.91
31.5340,19,q,19.312,20.003,54.91
31.6840,20,f,20.002,20.985,54.91
33.5210,21, ,30.002,21.466,-49.09
33.7640,12,u,31.275,19.997,-49.09
35.4180,3,n,39.941,9.997,-49.09
35.4300,4,d,40.004,9.925,-49.09
37.5130,5,o,50.001,8.484,42.91
37.7920,14,i,51.635,10.004,42.91
39.2200,15,h,60.002,17.782,42.91
39.6280,24,v,62.393,20.005,42.91
40.8430,25,j,70.006,25.419,-21.41
41.8890,16,b,76.364,19.995,-41.09
42.4920,17,p,80.000,16.825,-41.09
43.6310,8,t,85.085,9.995,-111.57
44.5300,7,s,79.993,4.981,-149.09
45.7600,16,b,72.115,10.002,138.91
46.1110,15,h,69.998,11.847,138.91
47.6620,24,v,60.646,20.002,138.91
47.7700,23,c,59.995,20.570,138.91
49.3970,22,x,49.998,22.748,-141.09
49.9440,13,k,46.593,20.000,-141.09
51.0040,12,u,39.994,14.673,-141.09
51.9340,3,n,34.205,9.999,-141.09
52.6100,2,z,29.998,6.602,-141.09
54.1310,1,e,19.999,9.738,142.91
54.1860,10,a,19.648,10.003,142.91
55.6980,9,y,9.999,17.297,142.91
56.2590,18,g,6.419,20.004,142.91
57.7530,19,q,10.000,23.191,-45.09
58.3170,10,a,13.186,19.996,-45.09
59.5240,11,w,20.003,13.158,-45.09
60.0820,2,z,23.155,9.997,-45.09
61.2440,3,n,30.001,4.104,9.15
61.2620,2,z,29.990,4.100,13.95
61.4040,3,n,30.002,4.363,53.63
62.1530,12,u,32.005,10.005,70.91
63.4750,21, ,35.463,20.000,70.91
64.6780,22,x,40.002,26.712,-35.57
65.6530,13,k,43.916,19.995,-61.09
67.0810,4,d,49.440,9.995,-61.09
67.2260,5,o,50.000,8.979,-61.09
69.5050,14,i,55.358,10.001,70.91
70.8280,23,c,58.819,20.003,70.91
71.2800,24,v,60.001,23.421,70.91
72.9510,15,h,66.957,19.996,-65.09
73.8540,16,b,70.001,13.444,-65.09
74.3290,7,s,71.601,9.997,-65.09
76.8690,16,b,77.371,10.005,70.91
77.8740,17,p,80.000,17.603,70.91
78.1910,26,l,80.829,20.000,70.91
81.0430,17,p,80.939,19.998,-141.09
81.1940,16,b,79.999,19.239,-141.09
82.8010,15,h,69.996,11.163,-141.09
83.0330,6,m,68.552,9.998,-141.09
84.3330,5,o,59.996,5.506,142.91
85.2650,14,i,54.048,10.002,142.91
85.9000,13,k,49.996,13.065,142.91
87.3380,22,x,40.818,20.002,142.91
87.4670,21, ,39.995,20.624,142.91
89.0560,20,f,29.994,23.493,-141.09
89.7520,11,w,25.662,19.995,-141.09
90.6620,10,a,19.997,15.422,-141.09
91.7410,1,e,13.281,10.000,-141.09
92.2690,0,r,9.994,7.347,-141.09
94.0060,9,y,7.338,10.004,30.91
94.3940,10,a,10.002,11.598,30.91
95.8510,11,w,20.002,17.587,30.91
96.4390,20,f,24.037,20.003,30.91
97.3080,21, ,30.002,23.575,30.91
98.7100,22,x,40.001,21.186,-29.09
99.0160,13,k,42.140,19.996,-29.09
100.1410,14,i,50.005,15.621,-29.09
101.5710,15,h,60.003,10.060,-29.09
101.5870,6,m,60.115,9.998,-29.09
102.9820,7,s,70.003,5.034,4.59
104.1720,16,b,77.772,10.003,34.91
104.5120,17,p,80.002,11.560,34.91
107.0350,16,b,80.000,18.786,158.91
107.4570,25,j,76.850,20.000,158.91
108.3750,24,v,69.997,22.643,158.91
109.6810,23,c,59.994,24.204,-157.09
111.0310,14,i,50.046,19.999,-157.09
111.0380,13,k,49.995,19.977,-157.09
112.3950,12,u,39.995,15.750,-157.09
113.7520,11,w,29.996,11.523,-157.09
114.2420,2,z,26.385,9.997,-157.09
115.1090,1,e,19.997,7.297,-157.09
116.5720,0,r,9.998,8.051,130.91
116.8950,9,y,8.306,10.004,130.91
118.5010,18,g,8.544,20.003,46.91
118.7680,19,q,10.003,21.563,46.91
120.4880,20,f,20.001,20.745,-49.09
120.6120,11,w,20.650,19.995,-49.09
122.2660,2,z,29.316,9.996,-49.09
122.3970,3,n,30.003,9.204,-49.09
124.8100,12,u,37.011,10.006,66.91
125.7630,13,k,40.000,17.019,66.91
126.1690,22,x,41.274,20.007,66.91
128.1550,23,c,50.004,21.489,-61.09
128.3680,14,i,50.828,19.998,-61.09
129.7960,5,o,56.351,9.998,-61.09
130.7030,6,m,60.001,3.734,-60.53
130.9620,5,o,59.996,3.558,-43.01
131.0020,6,m,60.003,3.558,-39.01
131.1630,5,o,59.989,3.299,0.99
131.2670,6,m,60.003,3.429,27.07
131.3110,5,o,59.994,3.392,40.35
131.4030,6,m,60.003,3.533,59.39
132.3120,15,h,63.323,10.002,62.91
133.7160,24,v,68.437,20.003,62.91
134.1450,25,j,70.000,23.058,62.91
135.8780,16,b,78.377,19.996,-57.09
136.2520,17,p,80.003,17.484,-57.09
137.3640,8,t,84.806,9.999,-70.69
138.3510,7,s,79.998,4.828,170.67
139.2550,16,b,75.047,10.004,130.91
140.2190,15,h,69.996,15.832,130.91
140.9090,24,v,66.381,20.003,130.91
142.2360,23,c,59.994,25.156,-138.69
143.3420,14,i,52.808,20.000,-145.09
143.7710,13,k,49.994,18.036,-145.09
145.2950,12,u,39.996,11.058,-145.09
145.5260,3,n,38.481,10.000,-145.09
146.7850,2,z,29.998,4.817,175.39
147.6730,11,w,25.359,10.001,126.91
148.7890,10,a,19.996,17.139,126.91
149.2370,19,q,17.844,20.005,126.91
151.8550,10,a,12.339,19.994,-97.09
153.1140,1,e,11.096,9.999,-97.09
153.9480,0,r,9.998,3.433,-113.09
155.4930,9,y,5.909,10.006,78.91
156.8100,18,g,9.214,20.004,70.91
157.1110,19,q,10.001,22.280,70.91
159.0480,10,a,16.681,19.995,-69.09
