sim_time_s,key_index,letter,x,y,heading_deg
0.7330,4,d,49.998,6.867,156.89
3.1380,5,o,50.006,0.000,-40.79
3.7940,6,m,60.000,0.314,26.41
4.3390,5,o,59.995,4.741,133.05
7.3950,4,d,49.992,7.082,178.57
8.3640,3,n,39.995,6.560,170.09
9.5200,2,z,29.995,4.746,-135.11
10.8320,1,e,19.996,6.615,147.29
12.3700,2,z,20.000,0.000,-52.79
13.1430,3,n,30.010,0.000,-9.43
14.1660,2,z,29.992,6.623,167.85
15.5070,3,n,30.001,0.000,-60.07
16.4250,4,d,40.010,0.000,-20.79
17.0690,5,o,50.010,0.023,5.05
18.1520,4,d,49.989,8.653,150.57
19.4490,5,o,50.000,6.617,72.33
19.6670,4,d,49.999,8.711,100.49
19.7750,13,k,49.653,10.009,106.81
20.8220,4,d,42.191,9.996,-104.79
21.8750,13,k,45.301,10.001,122.17
22.4260,12,u,39.991,11.716,-152.31
22.6170,3,n,38.356,9.999,-127.03
23.6480,4,d,40.003,1.785,-24.79
24.6230,3,n,39.996,6.913,151.61
25.7150,2,z,29.999,3.149,-138.55
28.0810,3,n,30.001,0.000,-56.79
28.9460,4,d,40.010,0.000,-12.79
30.4810,3,n,40.000,7.098,156.25
32.4210,4,d,40.015,0.000,-17.35
35.5720,5,o,50.009,0.000,-8.79
36.3450,6,m,60.001,1.126,73.77
36.6250,5,o,59.999,3.971,96.01
37.9310,4,d,49.999,4.132,-171.67
38.9760,3,n,39.993,8.069,-157.91
39.9910,4,d,40.010,0.743,-34.23
41.9700,3,n,39.997,7.034,-125.83
42.8740,4,d,40.010,0.000,-55.51
43.6780,5,o,50.003,0.000,-28.79
45.2680,4,d,49.991,7.211,-167.51
47.9660,5,o,50.006,0.000,-24.63
49.4640,4,d,49.997,6.920,-153.99
50.5890,3,n,40.000,4.177,158.89
51.7720,2,z,30.000,4.713,-175.43
52.8670,1,e,19.989,6.003,173.85
53.9450,0,r,9.994,6.101,-152.71
56.8010,1,e,10.005,0.000,-2.07
57.5500,0,r,10.000,5.643,132.73
61.0870,1,e,10.009,0.000,-12.79
62.4590,0,r,9.990,6.782,170.41
65.0190,1,e,10.007,0.000,-4.79
66.4440,0,r,9.988,7.257,165.69
68.2440,1,e,10.002,0.000,-56.79
68.9790,2,z,20.011,0.000,-1.27
72.4180,3,n,30.003,0.000,-4.79
74.3760,2,z,29.999,8.048,-138.95
76.4200,3,n,30.004,0.000,-40.47
77.1360,4,d,40.008,0.010,3.13
78.0420,3,n,39.996,6.118,147.29
79.1070,2,z,29.996,4.210,167.69
80.2000,1,e,19.996,3.420,-167.75
81.2920,0,r,9.996,6.231,159.61
83.1570,1,e,10.014,0.000,-21.51
84.8690,0,r,9.996,6.590,-178.71
86.3230,1,e,10.000,0.000,-44.79
88.2340,0,r,9.995,7.412,-153.83
92.0470,1,e,10.004,0.000,-32.79
94.1650,0,r,9.995,6.089,-143.75
95.4360,1,e,10.005,0.000,-66.55
96.6070,2,z,20.008,0.000,-39.27
97.2760,3,n,30.000,0.026,4.49
97.9060,2,z,29.995,4.659,149.93
100.0520,3,n,30.007,0.000,-42.39
100.7790,4,d,40.008,0.000,-10.95
101.8890,3,n,40.000,7.054,161.37
104.3750,4,d,40.001,0.000,-6.95
105.3520,3,n,39.994,6.656,159.53
106.4660,2,z,29.993,4.275,-155.43
107.3980,1,e,19.996,3.210,133.29
108.5630,0,r,9.999,6.224,-142.47
111.7230,1,e,10.013,0.000,-12.79
112.8980,0,r,9.997,5.951,-173.35
116.0810,1,e,10.010,0.000,-24.79
116.7420,2,z,20.017,0.000,-3.59
117.9180,1,e,19.994,7.640,150.97
