slot,root_id,super_class,class,sub_class,cell_type,hemibrain_type,consolidated_type,side,nerve,nt,sign
0,720575940603943456,central,CX,columnar,,"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",vDeltaA_a,left,,ACH,1
1,720575940603976672,central,,,,CL258,CL258,left,,ACH,1
2,720575940604427180,central,,,CB3660,,CB3660,left,,GLUT,-1
3,720575940604821950,central,,,CB3577,,CB3577,right,,ACH,1
4,720575940604866476,central,,,PS004b,PS004,PS004b,right,,GLUT,-1
5,720575940605078560,central,ALLN,,v2LNX01,,v2LNX01,right,,GLUT,-1
6,720575940605118142,central,,,CB1605,,CB1605,left,,ACH,1
7,720575940605916896,central,,,,AVLP026,AVLP026,left,,ACH,1
8,720575940606514878,central,,,CB2018,,CB2018,right,,GABA,-1
9,720575940606680706,central,Kenyon_Cell,,KCapbp-ap1,KCab-ap1,KCapbp-ap1,right,,ACH,1
10,720575940606739634,central,,,CB2000,,CB2000,left,,ACH,1
11,720575940606745266,central,ALLN,,CB1473,,CB1473,left,,GABA,-1
12,720575940606926466,central,,,,SAD016,SAD016,right,,GABA,-1
13,720575940606967682,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
14,720575940607227228,central,CX,,,PFNa,PFNa,left,,ACH,1
15,720575940607345074,central,,,CB1741,,CB1741,right,,ACH,1
16,720575940607621131,central,,,,AVLP548_b,AVLP548_b,left,,GLUT,-1
17,720575940607805020,central,,,CB1053,,CB1053,right,,ACH,1
18,720575940607814492,central,LHLN,,CB2731,,CB2731,right,,GABA,-1
19,720575940607919113,central,,,,PLP155,PLP155,right,,ACH,1
20,720575940608237013,central,,,CB2656,,CB2656,right,,ACH,1
21,720575940608327298,central,,,CB0381,,CB0381,right,,ACH,1
22,720575940608628419,central,ALPN,uniglomerular,,VM7v_adPN,VM7v_adPN,right,,ACH,1
23,720575940608978901,central,,,CB3314,,CB3314,left,,GABA,-1
24,720575940608984277,central,,,CB3357,,CB3357,left,,ACH,1
25,720575940609102531,central,,,,CL104,CL104,right,,ACH,1
26,720575940609179331,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
27,720575940609399506,central,Kenyon_Cell,,KCapbp-ap2,KCab-ap2,KCapbp-ap2,left,,ACH,1
28,720575940609825230,central,,,CB1823,,CB1823,right,,GLUT,-1
29,720575940609826168,central,,,CB3452,,CB3452,right,,ACH,1
30,720575940609913646,central,CX,tangential,CB.FB1E0,,FB1E,right,,GLUT,-1
31,720575940609989070,central,CX,columnar,,"FS4A,FS4B,FS4C",FS4A,left,,ACH,1
32,720575940610052266,central,ALPN,uniglomerular,,DA2_lPN,DA2_lPN,right,,ACH,1
33,720575940610199138,central,,,CB2095,,CB2095,right,,GLUT,-1
34,720575940610450418,central,,,,,CB3919,center,,GABA,-1
35,720575940610649464,central,Kenyon_Cell,,KCab,KCab-c,KCab,left,,ACH,1
