### raw.bin
         sts_monobit|   1|    100000|     100|0.00000000|  FAILED  
            sts_runs|   2|    100000|     100|0.00000000|  FAILED  
          sts_serial|   1|    100000|     100|0.00000000|  FAILED  
          sts_serial|   2|    100000|     100|0.00000000|  FAILED  
          sts_serial|   3|    100000|     100|0.00000000|  FAILED  
          sts_serial|   3|    100000|     100|0.00000000|  FAILED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   9|    100000|     100|0.00000000|  FAILED  
          sts_serial|   9|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
        diehard_runs|   0|    100000|     100|0.00104272|   WEAK   
        diehard_runs|   0|    100000|     100|0.00000235|   WEAK   
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED  
  diehard_rank_32x32|   0|     40000|     100|0.00000000|  FAILED  
### whitened.bin
         sts_monobit|   1|    100000|     100|0.00000651|   WEAK   
            sts_runs|   2|    100000|     100|0.00000000|  FAILED  
          sts_serial|   1|    100000|     100|0.00000651|   WEAK   
          sts_serial|   2|    100000|     100|0.43374408|  PASSED  
          sts_serial|   3|    100000|     100|0.02171965|  PASSED  
          sts_serial|   3|    100000|     100|0.00055213|   WEAK   
          sts_serial|   4|    100000|     100|0.00242615|   WEAK   
          sts_serial|   4|    100000|     100|0.01801067|  PASSED  
          sts_serial|   5|    100000|     100|0.00133357|   WEAK   
          sts_serial|   5|    100000|     100|0.00004011|   WEAK   
          sts_serial|   6|    100000|     100|0.00000002|  FAILED  
          sts_serial|   6|    100000|     100|0.00021472|   WEAK   
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00047611|   WEAK   
          sts_serial|   8|    100000|     100|0.00000001|  FAILED  
          sts_serial|   9|    100000|     100|0.06910490|  PASSED  
          sts_serial|   9|    100000|     100|0.00111856|   WEAK   
          sts_serial|  10|    100000|     100|0.20191928|  PASSED  
          sts_serial|  10|    100000|     100|0.00705097|  PASSED  
          sts_serial|  11|    100000|     100|0.38719235|  PASSED  
          sts_serial|  11|    100000|     100|0.02682184|  PASSED  
          sts_serial|  12|    100000|     100|0.40151241|  PASSED  
          sts_serial|  12|    100000|     100|0.27801103|  PASSED  
          sts_serial|  13|    100000|     100|0.24175367|  PASSED  
          sts_serial|  13|    100000|     100|0.00000023|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.06260488|  PASSED  
          sts_serial|  16|    100000|     100|0.08776331|  PASSED  
          sts_serial|  16|    100000|     100|0.00000639|   WEAK   
        diehard_runs|   0|    100000|     100|0.00587317|  PASSED  
        diehard_runs|   0|    100000|     100|0.00028375|   WEAK   
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED  
  diehard_rank_32x32|   0|     40000|     100|0.00000000|  FAILED  
